Asset,Split,Statistic,Value,DailyBlockBootstrap_SE,DailyBlockBootstrap_Blocks,WeeklyBlockBootstrap_SE,WeeklyBlockBootstrap_Blocks,Batch_SE,Batches,Bootstrap_Replications
BTC,train,mean,1.2033541575906164e-06,3.610238766606226e-06,1095,3.5714033234218467e-06,157,3.588489819440863e-06,100,500
BTC,train,std,0.002225019726272395,6.835742763921527e-05,1095,0.00010977327325146913,157,9.77321742258199e-05,100,500
BTC,train,skewness,-0.6416907782199547,0.4802533804542109,1095,0.4647022929885147,157,0.3693198765697765,100,500
BTC,train,kurtosis,105.31270227101169,33.507380038004406,1095,33.54738771973644,157,16.497989252452413,100,500
BTC,validation,mean,7.526623156419664e-06,4.807812274295433e-06,366,4.729779292749314e-06,53,4.696262097211859e-06,100,500
BTC,validation,std,0.001670783934157601,5.099425812760787e-05,366,6.887904418889013e-05,53,5.425289845159503e-05,100,500
BTC,validation,skewness,-0.7639715724535012,0.41180150766781315,366,0.44134353722219516,53,0.12855270505004832,100,500
BTC,validation,kurtosis,46.51185791318497,17.449343908858467,366,16.933889288543,53,2.383398140684368,100,500
BTC,test,mean,-6.241409186226942e-07,4.1077081869506635e-06,365,3.592234488509809e-06,53,4.106576387501158e-06,100,500
BTC,test,std,0.0014184876703220595,5.342637008852124e-05,365,7.79732503993154e-05,53,5.392224200701246e-05,100,500
BTC,test,skewness,-1.382749127911092,1.2630957789722392,365,1.22354694416319,53,0.15068972988841478,100,500
BTC,test,kurtosis,133.9603890555457,95.48678894471311,365,96.18269816736384,53,3.5025108523816444,100,500
BTC,recent,mean,-1.8806577426025837e-05,1.7981366365028927e-05,50,1.4051974144512368e-05,8,1.3465763282116538e-05,100,500
BTC,recent,std,0.001732381054551664,0.00014625541649533475,50,0.0002804000353177467,8,8.783169904559317e-05,100,500
BTC,recent,skewness,0.18491824574346397,0.20448703084126646,50,0.14786532831631471,8,0.09616023927273543,100,500
BTC,recent,kurtosis,17.173005333093283,2.0590559011321625,50,2.4703418741427656,8,0.5306767040817024,100,500
ETH,train,mean,3.58565523052965e-06,4.624770878108903e-06,1095,4.588638141426632e-06,157,5.016734183988391e-06,100,500
ETH,train,std,0.002915998038610856,0.0001721750200238973,1095,0.0002225881229312136,157,0.0001497281790354499,100,500
ETH,train,skewness,-2.280808165803842,1.3817891054565297,1095,1.3519238149042663,157,0.33948090368410744,100,500
ETH,train,kurtosis,817.5345280744342,540.187766672611,1095,528.486750597198,157,15.955806035630497,100,500
ETH,validation,mean,3.5963182854143553e-06,6.234623721614543e-06,366,6.288784722697253e-06,53,6.109034203908017e-06,100,500
ETH,validation,std,0.002011464009813415,6.638792448800679e-05,366,9.442840922707672e-05,53,6.72776331238797e-05,100,500
ETH,validation,skewness,-1.5695890579952547,0.5679973561263076,366,0.5389322449943248,53,0.1790336422792218,100,500
ETH,validation,kurtosis,78.24448238091452,23.834737139759014,366,22.63725571255377,53,4.02617967698224,100,500
ETH,test,mean,-1.1058476914920744e-06,7.0859501705122735e-06,365,7.444215003434167e-06,53,6.766375729091221e-06,100,500
ETH,test,std,0.002254552121115275,6.858884020770318e-05,365,9.092409660737471e-05,53,7.326071895382963e-05,100,500
ETH,test,skewness,-0.30232050956740564,0.3146971002612251,365,0.299983692134549,53,0.10838527365048549,100,500
ETH,test,kurtosis,43.12820620324271,12.561602889087906,365,11.6194802023125,53,1.390891537131679,100,500
ETH,recent,mean,-2.9698854136099213e-05,2.3331706595954477e-05,50,2.1904814389205526e-05,8,1.9324875331788125e-05,100,500
ETH,recent,std,0.0023587400299821247,0.00018634566956120206,50,0.0003604244755866073,8,0.00011822253670353245,100,500
ETH,recent,skewness,0.2561430430693283,0.2407253102901043,50,0.18736878875667345,8,0.1151455277294156,100,500
ETH,recent,kurtosis,17.685726550380643,1.8902996071535278,50,2.730872049575342,8,0.7304059653397315,100,500
XRP,train,mean,3.269127734277614e-06,5.804132985028985e-06,1095,5.930114033286557e-06,157,5.38551401165284e-06,100,500
XRP,train,std,0.003771086465856979,0.00015829751732294618,1095,0.000254773889993414,157,0.00019566601750248004,100,500
XRP,train,skewness,-2.1240082152522652,1.1769831123496353,1095,1.1501744001637364,157,0.36371864238047574,100,500
XRP,train,kurtosis,259.5936525285825,88.50549010575509,1095,93.78650154808014,157,16.920012624304405,100,500
XRP,validation,mean,1.1565465751687465e-05,7.501000989765549e-06,366,9.214390183792155e-06,53,9.44707685698733e-06,100,500
XRP,validation,std,0.0029337529101409335,0.0001376860232567495,366,0.00024102366439030388,53,0.00015511352335025242,100,500
XRP,validation,skewness,-3.43506410717059,1.7432351890459574,366,1.8945881359464822,53,0.32475770694160805,100,500
XRP,validation,kurtosis,209.74949350078043,95.91654936582027,366,109.87881051406205,53,7.992381289839491,100,500
XRP,test,mean,-1.177073323895315e-06,7.817104298161407e-06,365,6.961741483790396e-06,53,7.20938813463415e-06,100,500
XRP,test,std,0.0029845867895198644,0.0003457109889557248,365,0.00034052822691353255,53,0.00016107892102492884,100,500
XRP,test,skewness,-15.760732287624771,10.431516933145677,365,10.471078801865556,53,0.18453130933538495,100,500
XRP,test,kurtosis,2486.628449388146,1438.8879538617089,365,1475.692163757656,53,4.784161058490982,100,500
XRP,recent,mean,-1.866293283744107e-05,2.757041493900166e-05,50,1.9522585716235848e-05,8,2.3017442394670376e-05,100,500
XRP,recent,std,0.002575592149198277,0.00022188956027017361,50,0.0003728805244886098,8,0.00012423389820624244,100,500
XRP,recent,skewness,0.38558213766884375,0.19884850208478416,50,0.2065989812087468,8,0.09284358104455513,100,500
XRP,recent,kurtosis,17.903361137518363,2.5436235384315076,50,2.931915398269548,8,0.5099764285529668,100,500
SOL,train,mean,1.3364617406183387e-05,7.216546716197895e-06,1095,6.930265725203105e-06,157,7.937505736084655e-06,100,500
