Asset,Split,lag,empirical_acf,ou_implied_acf,abs_error,squared_error
BTC,train,1,0.8782294455226531,0.8782296896365751,2.441139219655497e-07,5.959160689740249e-14
BTC,train,2,0.7026753525836091,0.7712873877591551,0.06861203517554593,0.004707611370930352
BTC,train,3,0.5271598517530623,0.6773674831723275,0.1502076314192652,0.022562332536585822
BTC,train,4,0.4605923217557918,0.5948842345163412,0.13429191276054941,0.018034317832887014
BTC,train,5,0.41817680043789257,0.5224449966489779,0.10426819621108535,0.010871856741113394
BTC,train,6,0.3864759986989863,0.4588267072592134,0.07235070856022707,0.005234625029166915
BTC,train,7,0.3597889303899765,0.40295523671323064,0.04316630632325413,0.0018633300015930099
BTC,train,8,0.33761856933506157,0.3538872524760932,0.016268683141031637,0.000264670051143287
BTC,train,9,0.3192990690341855,0.3107942919084196,0.008504777125765861,7.233123395895022e-05
BTC,train,10,0.3054410870337239,0.2729487745235505,0.03249231251017343,0.0010557503722587725
BTC,train,11,0.29319507872146217,0.23971171753650128,0.05348336118496089,0.002860469923640981
BTC,train,12,0.2817752614230715,0.21052194729433188,0.07125331412873964,0.005077034774328849
BTC,train,13,0.26922006969811146,0.1848866244339885,0.08433344526412295,0.007112129990116822
BTC,train,14,0.2570584172993605,0.16237292279461574,0.09468549450474478,0.008965342869608055
BTC,train,15,0.2456468015621,0.14260072159129897,0.10304607997080104,0.010618494597348722
BTC,train,16,0.23578776880589541,0.12523618746507814,0.11055158134081727,0.012221652136955337
BTC,train,17,0.22648973009542844,0.10998613804872351,0.11650359204670493,0.01357308695978505
BTC,train,18,0.21719124163220693,0.09659309188285595,0.12059814974935099,0.014543913722966885
BTC,train,19,0.20779123459443372,0.08483092110531777,0.12296031348911594,0.015119238693341669
BTC,train,20,0.19978351859981255,0.07450103351390801,0.12528248508590456,0.0156957010692999
BTC,train,21,0.19330538521748902,0.06542901954052352,0.1278763656769655,0.016352364898749
BTC,train,22,0.18892060455306153,0.057461707524299376,0.13145889702876215,0.01728144160801869
BTC,train,23,0.1843713144867778,0.05046457756505309,0.1339067369217247,0.017931014193023988
BTC,train,24,0.17922471147882874,0.04431949029259745,0.13490522118623127,0.01819941870330598
BTC,train,25,0.17211406082396244,0.038922692204519056,0.1331913686194434,0.01773994067472045
BTC,train,26,0.16517347439454963,0.03418306389459472,0.1309904104999549,0.0171584876429467
BTC,train,27,0.1587034643830214,0.03002058159497713,0.12868288278804427,0.01655928432264154
BTC,train,28,0.15346273980753464,0.026364966056866244,0.12709777375066839,0.01615384409237609
BTC,train,29,0.14771978074744496,0.02315449595740048,0.12456528479004449,0.015516510174824888
BTC,train,30,0.14213824098075767,0.020334965798359157,0.12180327518239852,0.014836037845159099
BTC,train,31,0.13682280426329188,0.01785877070186333,0.11896403356142855,0.014152441281204698
BTC,train,32,0.13283013523315293,0.015684102650788196,0.11714603258236474,0.01372319294978846
BTC,train,33,0.12952713034556815,0.013774244603229902,0.11575288574233825,0.013398730557678812
BTC,train,34,0.12690167220339468,0.012096950562872865,0.11480472164052181,0.013180124110957698
BTC,train,35,0.12435760502476893,0.01062390113838083,0.11373370388638811,0.012935355399716613
BTC,train,36,0.12116312083398846,0.009330225399489852,0.1118328954344986,0.0125065965012635
BTC,train,37,0.11717433686520691,0.008194080956833263,0.10898025590837365,0.01187669617785461
BTC,train,38,0.1127205219701791,0.007196285175576647,0.10552423679460245,0.011135364551083328
BTC,train,39,0.10868458613840448,0.006319991296282966,0.10236459484212151,0.010478510277191691
BTC,train,40,0.1050755631971093,0.005550403994640444,0.09952515920246885,0.00990525731427677
BTC,train,41,0.1019382575125153,0.004874529577570685,0.09706372793494461,0.009421367280628947
BTC,train,42,0.09939808594366437,0.004280956598034208,0.09511712934563016,0.009047268294953338
BTC,train,43,0.09717693127516813,0.0037596631844392307,0.09341726809072891,0.008726785977535118
BTC,train,44,0.09524113217736899,0.003301847831608123,0.09193928434576086,0.008452832006010668
BTC,train,45,0.09341130621820858,0.0028997807963804007,0.09051152542182818,0.008192336234186248
BTC,train,46,0.09241066582616936,0.0025466735888192596,0.0898639922373501,0.008075537100834519
BTC,train,47,0.09112277388962423,0.0022365643555144013,0.08888620953410982,0.007900758245341675
BTC,train,48,0.08895577250158078,0.0019642172197956395,0.08699155528178514,0.0075675306903438795
