Asset,Split,max_lag,acf_mae,acf_rmse,acf_max_abs_error
BTC,train,300,0.046294916467102674,0.05644618339678633,0.1502076314192652
BTC,validation,300,0.06727178153818587,0.08279241784271259,0.19758489450594408
BTC,test,300,0.06415004377623128,0.08325932157443905,0.21853971758374277
BTC,recent,300,0.09319644911856705,0.11169698516831673,0.25409099871217217
ETH,train,300,0.04209068212065186,0.05113975106390766,0.15519785597751024
ETH,validation,300,0.049292846125701645,0.0601040933190605,0.1485748832428305
ETH,test,300,0.05724515175499621,0.0704508562398021,0.1814220236800097
ETH,recent,300,0.0779895247832605,0.09407033861910259,0.22811713286743257
XRP,train,300,0.03600544475808326,0.04707730130471276,0.15351193380600725
XRP,validation,300,0.04335535272007399,0.055425990369663655,0.14558101949273497
XRP,test,300,0.05998691198757569,0.07647469617874182,0.20469354074010337
XRP,recent,300,0.08980936314706826,0.10968705477821244,0.26603738916912956
SOL,train,300,0.043708715990838684,0.05676252424484377,0.15476893923392437
SOL,validation,300,0.05086614662760277,0.06334617056336421,0.16698464694141743
SOL,test,300,0.05585592215955702,0.07075897203983349,0.18886686005565007
SOL,recent,300,0.08124207397350217,0.09799821042617225,0.24060480832981881
