Asset,b,kappa_per_day,half_life_hours,zbar,sigmaZ_per_sqrt_day,r2,n
BTC,0.8782296896365751,37.39596884673036,0.44484827767453816,0.3639534828850115,8.155913916834402,0.7712883033964492,315359
ETH,0.874678262518782,38.56295814372593,0.4313863130374306,0.37189113410770736,8.11574746023231,0.7650629815531623,315359
XRP,0.8685503601919651,40.58775640205649,0.4098657774686901,0.38058606439812537,8.716084834510626,0.7543791541199941,315359
SOL,0.8709210133181254,39.802749493129724,0.4179493262471758,0.3856083609592869,8.144571481436783,0.7585055227668751,315359
