Asset,fast_hl_bars,slow_hl_bars,fast_hl_hours,slow_hl_hours,train_Mean_MAE,validation_Mean_MAE
ETH,1,72,0.08333333333333333,6.0,0.014683759543319436,0.011463701479176858
ETH,1,144,0.08333333333333333,12.0,0.009349535865111433,0.0073336484687845215
ETH,1,288,0.08333333333333333,24.0,0.007230068369576972,0.005784820339675614
ETH,1,576,0.08333333333333333,48.0,0.014740669713969787,0.01220215066371332
ETH,1,1008,0.08333333333333333,84.0,0.026628219561319673,0.022955420790925753
ETH,1,2016,0.08333333333333333,168.0,0.050617689209327354,0.04261653456160401
ETH,3,72,0.25,6.0,0.01584248323210774,0.012383084954317985
ETH,3,144,0.25,12.0,0.010545310573476263,0.008282490002350602
ETH,3,288,0.25,24.0,0.008256051405373709,0.006589974607128816
ETH,3,576,0.25,48.0,0.015334177654448458,0.012604132357149262
ETH,3,1008,0.25,84.0,0.026783686005016558,0.02299347993516217
ETH,3,2016,0.25,168.0,0.05036129937781524,0.04228411862466491
ETH,6,72,0.5,6.0,0.0169216180874592,0.01323667996671632
ETH,6,144,0.5,12.0,0.011647314384858061,0.009159725267550326
ETH,6,288,0.5,24.0,0.009209192971146338,0.007344446597286967
ETH,6,576,0.5,48.0,0.015932266997583728,0.0130086159358533
ETH,6,1008,0.5,84.0,0.02699310868521157,0.023066708147739555
ETH,6,2016,0.5,168.0,0.05019424841569525,0.04204866290491949
ETH,12,72,1.0,6.0,0.018400165004296726,0.014395454205646814
ETH,12,144,1.0,12.0,0.013139699624802766,0.010336455427380762
ETH,12,288,1.0,24.0,0.010512592088472345,0.008382382437423036
ETH,12,576,1.0,48.0,0.01678733563668633,0.013607967659894532
ETH,12,1008,1.0,84.0,0.0273806630500717,0.023239709049055937
ETH,12,2016,1.0,168.0,0.05006154682563516,0.041756576484129004
ETH,24,72,2.0,6.0,0.020476737097562918,0.016011829153280602
ETH,24,144,2.0,12.0,0.015217468004815434,0.011967250650134854
ETH,24,288,2.0,24.0,0.012348845698200543,0.009848071049440556
ETH,24,576,2.0,48.0,0.0180385758568605,0.01452587116256784
ETH,24,1008,2.0,84.0,0.028025672391988877,0.02359051117566626
ETH,24,2016,2.0,168.0,0.05002148159001755,0.041378042457264494
XRP,1,72,0.08333333333333333,6.0,0.017100716773761657,0.013692870710233193
XRP,1,144,0.08333333333333333,12.0,0.011089402699489487,0.008793998374527837
XRP,1,288,0.08333333333333333,24.0,0.008133742320306017,0.006676370329431491
XRP,1,576,0.08333333333333333,48.0,0.016230428843552358,0.0147389560554835
XRP,1,1008,0.08333333333333333,84.0,0.030642263682186553,0.028390930545436857
XRP,1,2016,0.08333333333333333,168.0,0.059276042368470866,0.05407490910470082
XRP,3,72,0.25,6.0,0.018510414904813793,0.014838949145597476
